cliente_id,tipo_cliente,estado,superficie_m2,ocupantes,costo_energia_mxn
CLIENTE_0001,Residencial,Ciudad de México,24,2,245.14
CLIENTE_0002,Comercial,Jalisco,24,1,209.99
CLIENTE_0003,Comercial,Tabasco,24,1,283.25
CLIENTE_0004,Residencial,Puebla,45,4,558.83
CLIENTE_0005,Residencial,Quintana Roo,45,4,543.63
CLIENTE_0006,Residencial,Chihuahua,52,2,367.46
CLIENTE_0007,Residencial,Jalisco,17,3,201.36
CLIENTE_0008,Comercial,Chiapas,45,3,388.09
CLIENTE_0009,Residencial,Ciudad de México,45,2,266.11
CLIENTE_0010,Comercial,Aguascalientes,45,4,600.93
CLIENTE_0011,Residencial,Hidalgo,52,3,248.79
CLIENTE_0012,Comercial,Jalisco,45,3,291.5
CLIENTE_0013,Comercial,Jalisco,77,3,268.55
CLIENTE_0014,Residencial,Jalisco,24,2,268.93
CLIENTE_0015,Residencial,Puebla,45,1,363.85
CLIENTE_0016,Residencial,Puebla,17,1,345.15
CLIENTE_0017,Residencial,Tamaulipas,17,1,393.11
CLIENTE_0018,Residencial,Morelos,24,1,319.2
CLIENTE_0019,Residencial,Jalisco,17,1,289.9
CLIENTE_0020,Residencial,Chiapas,24,3,217.09
CLIENTE_0021,Residencial,Guanajuato,24,3,393.95
CLIENTE_0022,Residencial,Aguascalientes,17,3,307.12
CLIENTE_0023,Residencial,Zacatecas,77,2,336.19
CLIENTE_0024,Residencial,Guanajuato,17,3,278.88
CLIENTE_0025,Residencial,Zacatecas,45,4,508.74
CLIENTE_0026,Comercial,Aguascalientes,24,1,383.42
CLIENTE_0027,Residencial,Tlaxcala,77,4,429.32
CLIENTE_0028,Residencial,Nuevo León,52,3,256.54
CLIENTE_0029,Residencial,Guanajuato,45,1,229.18
CLIENTE_0030,Residencial,Coahuila,45,3,354.08
CLIENTE_0031,Residencial,Tlaxcala,17,1,211.62
CLIENTE_0032,Residencial,Michoacán,77,3,215.42
CLIENTE_0033,Residencial,Guanajuato,52,1,257.75
CLIENTE_0034,Comercial,Guanajuato,52,1,299.82
CLIENTE_0035,Comercial,Tlaxcala,45,2,278.77
CLIENTE_0036,Comercial,Ciudad de México,24,3,208.24
CLIENTE_0037,Residencial,Jalisco,52,4,594.09
CLIENTE_0038,Residencial,Zacatecas,24,1,385.43
CLIENTE_0039,Comercial,Jalisco,45,3,253.99
CLIENTE_0040,Residencial,Veracruz,17,1,342.23
CLIENTE_0041,Residencial,Michoacán,77,2,312.4
CLIENTE_0042,Residencial,Aguascalientes,17,2,245.82
CLIENTE_0043,Residencial,Tlaxcala,24,2,250.65
CLIENTE_0044,Comercial,Jalisco,45,2,295.34
CLIENTE_0045,Residencial,Colima,45,4,481.99
CLIENTE_0046,Comercial,Aguascalientes,45,4,455.32
CLIENTE_0047,Residencial,Jalisco,24,1,357.09
CLIENTE_0048,Residencial,Colima,17,3,293.44
CLIENTE_0049,Residencial,Ciudad de México,45,2,327.29
CLIENTE_0050,Residencial,Aguascalientes,77,2,236.44
CLIENTE_0051,Comercial,Tlaxcala,52,4,505.78
CLIENTE_0052,Comercial,Chiapas,45,4,460.9
CLIENTE_0053,Comercial,Tlaxcala,77,2,302.21
CLIENTE_0054,Comercial,Tamaulipas,45,3,351.88
CLIENTE_0055,Residencial,Guanajuato,45,1,349.52
CLIENTE_0056,Comercial,Jalisco,45,1,268.62
CLIENTE_0057,Residencial,Jalisco,45,1,334.97
CLIENTE_0058,Residencial,Puebla,45,1,383.19
CLIENTE_0059,Residencial,Michoacán,45,3,321.59
CLIENTE_0060,Residencial,Ciudad de México,24,3,228.46
CLIENTE_0061,Residencial,Guerrero,24,3,332.12
CLIENTE_0062,Residencial,Oaxaca,17,2,219.98
