cliente_id,tipo_cliente,estado,superficie_m2,ocupantes,costo_energia_mxn,costo_por_m2,costo_por_ocupante,eficiencia_relativa
CLIENTE_0001,Residencial,Ciudad de México,24,2,245.14,10.214166666666666,122.57,0.3696655597368513
CLIENTE_0002,Comercial,Jalisco,24,1,209.99,8.749583333333334,209.99,0.2986355821063925
CLIENTE_0003,Comercial,Tabasco,24,1,283.25,11.802083333333334,283.25,0.44667700916776987
CLIENTE_0004,Residencial,Puebla,45,4,558.83,12.418444444444445,139.7075,0.4765695492084005
CLIENTE_0005,Residencial,Quintana Roo,45,4,543.63,12.080666666666666,135.9075,0.4601878606738081
CLIENTE_0006,Residencial,Chihuahua,52,2,367.46,7.066538461538461,183.73,0.21701056502896549
CLIENTE_0007,Residencial,Jalisco,17,3,201.36,11.844705882352942,67.12,0.4487441354517523
CLIENTE_0008,Comercial,Chiapas,45,3,388.09,8.624222222222222,129.36333333333332,0.2925557662875919
CLIENTE_0009,Residencial,Ciudad de México,45,2,266.11,5.913555555555556,133.055,0.16109271579748863
CLIENTE_0010,Comercial,Aguascalientes,45,4,600.93,13.354,150.2325,0.5219425154785542
CLIENTE_0011,Residencial,Hidalgo,52,3,248.79,4.784423076923077,82.92999999999999,0.1063315746089211
CLIENTE_0012,Comercial,Jalisco,45,3,291.5,6.477777777777778,97.16666666666667,0.18845660210625825
CLIENTE_0013,Comercial,Jalisco,77,3,268.55,3.487662337662338,89.51666666666667,0.04344072763190997
CLIENTE_0014,Residencial,Jalisco,24,2,268.93,11.205416666666666,134.465,0.4177396185655459
CLIENTE_0015,Residencial,Puebla,45,1,363.85,8.085555555555556,363.85,0.2664312840455842
CLIENTE_0016,Residencial,Puebla,17,1,345.15,20.302941176470586,345.15,0.8589551832362191
CLIENTE_0017,Residencial,Tamaulipas,17,1,393.11,23.124117647058824,393.11,0.9957777846114403
CLIENTE_0018,Residencial,Morelos,24,1,319.2,13.299999999999999,319.2,0.5193236007983528
CLIENTE_0019,Residencial,Jalisco,17,1,289.9,17.052941176470586,289.9,0.7013353182241056
CLIENTE_0020,Residencial,Chiapas,24,3,217.09,9.045416666666666,72.36333333333333,0.3129830313574951
CLIENTE_0021,Residencial,Guanajuato,24,3,393.95,16.414583333333333,131.31666666666666,0.6703759714349616
CLIENTE_0022,Residencial,Aguascalientes,17,3,307.12,18.065882352941177,102.37333333333333,0.7504613648396459
CLIENTE_0023,Residencial,Zacatecas,77,2,336.19,4.366103896103896,168.095,0.08604375528193735
CLIENTE_0024,Residencial,Guanajuato,17,3,278.88,16.404705882352943,92.96,0.6698969306687484
CLIENTE_0025,Residencial,Zacatecas,45,4,508.74,11.305333333333333,127.185,0.42258541903091834
CLIENTE_0026,Comercial,Aguascalientes,24,1,383.42,15.975833333333334,383.42,0.6490972896583264
CLIENTE_0027,Residencial,Tlaxcala,77,4,429.32,5.575584415584416,107.33,0.1447016495020298
CLIENTE_0028,Residencial,Nuevo León,52,3,256.54,4.933461538461539,85.51333333333334,0.11355970451332277
CLIENTE_0029,Residencial,Guanajuato,45,1,229.18,5.092888888888889,229.18,0.1212916791144298
CLIENTE_0030,Residencial,Coahuila,45,3,354.08,7.868444444444444,118.02666666666666,0.2559017381914416
CLIENTE_0031,Residencial,Tlaxcala,17,1,211.62,12.448235294117648,211.62,0.4780143583481194
CLIENTE_0032,Residencial,Michoacán,77,3,215.42,2.7976623376623375,71.80666666666666,0.009976817829338163
CLIENTE_0033,Residencial,Guanajuato,52,1,257.75,4.956730769230769,257.75,0.11468822544033255
CLIENTE_0034,Comercial,Guanajuato,52,1,299.82,5.765769230769231,299.82,0.1539253125471942
CLIENTE_0035,Comercial,Tlaxcala,45,2,278.77,6.1948888888888884,139.385,0.17473693795853718
CLIENTE_0036,Comercial,Ciudad de México,24,3,208.24,8.676666666666668,69.41333333333334,0.2950992389811207
CLIENTE_0037,Residencial,Jalisco,52,4,594.09,11.424807692307693,148.5225,0.4283797366721329
CLIENTE_0038,Residencial,Zacatecas,24,1,385.43,16.059583333333332,385.43,0.6531590323336385
CLIENTE_0039,Comercial,Jalisco,45,3,253.99,5.644222222222222,84.66333333333334,0.14803047467648472
CLIENTE_0040,Residencial,Veracruz,17,1,342.23,20.131176470588237,342.23,0.8506248663885202
CLIENTE_0041,Residencial,Michoacán,77,2,312.4,4.057142857142857,156.2,0.07105963304961695
CLIENTE_0042,Residencial,Aguascalientes,17,2,245.82,14.459999999999999,122.91,0.5755817680026765
CLIENTE_0043,Residencial,Tlaxcala,24,2,250.65,10.44375,125.325,0.38079998866270703
CLIENTE_0044,Comercial,Jalisco,45,2,295.34,6.563111111111111,147.67,0.1925951339465763
CLIENTE_0045,Residencial,Colima,45,4,481.99,10.710888888888888,120.4975,0.39375580269536936
CLIENTE_0046,Comercial,Aguascalientes,45,4,455.32,10.118222222222222,113.83,0.36501240577316035
CLIENTE_0047,Residencial,Jalisco,24,1,357.09,14.878749999999998,357.09,0.5958904813792372
CLIENTE_0048,Residencial,Colima,17,3,293.44,17.261176470588236,97.81333333333333,0.7114344009778231
CLIENTE_0049,Residencial,Ciudad de México,45,2,327.29,7.2731111111111115,163.645,0.2270290121492227
CLIENTE_0050,Residencial,Aguascalientes,77,2,236.44,3.0706493506493504,118.22,0.023216256640745253
CLIENTE_0051,Comercial,Tlaxcala,52,4,505.78,9.72653846153846,126.445,0.34601636223887994
CLIENTE_0052,Comercial,Chiapas,45,4,460.9,10.242222222222221,115.225,0.3710262098536225
CLIENTE_0053,Comercial,Tlaxcala,77,2,302.21,3.9248051948051947,151.105,0.06464146551925357
CLIENTE_0054,Comercial,Tamaulipas,45,3,351.88,7.819555555555556,117.29333333333334,0.2535307043245927
CLIENTE_0055,Residencial,Guanajuato,45,1,349.52,7.76711111111111,349.52,0.25098723163106385
CLIENTE_0056,Comercial,Jalisco,45,1,268.62,5.969333333333333,268.62,0.16379784989102983
CLIENTE_0057,Residencial,Jalisco,45,1,334.97,7.443777777777778,334.97,0.23530607582985874
CLIENTE_0058,Residencial,Puebla,45,1,383.19,8.515333333333333,383.19,0.28727482722051934
CLIENTE_0059,Residencial,Michoacán,45,3,321.59,7.146444444444444,107.19666666666666,0.22088587894875047
CLIENTE_0060,Residencial,Ciudad de México,24,3,228.46,9.519166666666667,76.15333333333334,0.3359591578342609
CLIENTE_0061,Residencial,Guerrero,24,3,332.12,13.838333333333333,110.70666666666666,0.5454319169003594
CLIENTE_0062,Residencial,Oaxaca,17,2,219.98,12.94,109.99,0.5018641695970111
CLIENTE_0063,Comercial,Colima,45,3,369.66,8.214666666666668,123.22000000000001,0.27269296893939876
CLIENTE_0064,Residencial,Tlaxcala,24,1,300.31,12.512916666666667,300.31,0.48115130272041934
CLIENTE_0065,Residencial,Colima,17,3,274.66,16.156470588235294,91.55333333333334,0.657857911114882
CLIENTE_0066,Residencial,Sonora,45,2,210.63,4.680666666666666,105.315,0.10129955264622667
CLIENTE_0067,Residencial,Guanajuato,45,4,473.97,10.532666666666668,118.4925,0.38511230650803846
CLIENTE_0068,Comercial,Tlaxcala,45,1,375.74,8.349777777777778,375.74,0.2792456443532356
CLIENTE_0069,Residencial,Veracruz,45,4,399.04,8.867555555555557,99.76,0.3043570484884989
CLIENTE_0070,Comercial,Chihuahua,52,3,292.11,5.617500000000001,97.37,0.1467344891197185
CLIENTE_0071,Comercial,Michoacán,77,1,381.18,4.95038961038961,381.18,0.11438068925554369
CLIENTE_0072,Residencial,Jalisco,52,1,276.56,5.318461538461539,276.56,0.13223159621475775
CLIENTE_0073,Residencial,Aguascalientes,45,3,283.06,6.290222222222222,94.35333333333334,0.17936045399889253
CLIENTE_0074,Comercial,Chihuahua,24,3,312.4,13.016666666666666,104.13333333333333,0.5055823817972969
CLIENTE_0075,Comercial,San Luis Potosí,77,2,289.83,3.764025974025974,144.915,0.05684392734203093
CLIENTE_0076,Comercial,Guanajuato,24,3,232.41,9.68375,77.47,0.34394118945987434
CLIENTE_0077,Comercial,Guanajuato,24,3,203.11,8.462916666666667,67.70333333333333,0.284732701705324
CLIENTE_0078,Residencial,Hidalgo,45,3,318.48,7.077333333333334,106.16000000000001,0.21753409925515965
CLIENTE_0079,Residencial,Colima,17,1,379.16,22.303529411764707,379.16,0.9559805517260288
CLIENTE_0080,Residencial,Michoacán,77,2,220.25,2.8603896103896105,110.125,0.013018991447753791
CLIENTE_0081,Comercial,Tamaulipas,45,1,240.65,5.347777777777778,240.65,0.1336533875020465
CLIENTE_0082,Residencial,Chihuahua,45,3,271.74,6.038666666666667,90.58,0.16716040701128826
CLIENTE_0083,Residencial,Tabasco,45,2,357.31,7.940222222222222,178.655,0.25938284700504244
CLIENTE_0084,Residencial,Ciudad de México,45,3,252.05,5.601111111111111,84.01666666666667,0.1459396539029907
CLIENTE_0085,Residencial,Puebla,17,1,371.6,21.858823529411765,371.6,0.9344130190655477
CLIENTE_0086,Residencial,Jalisco,45,1,210.22,4.671555555555556,210.22,0.10085767815285941
CLIENTE_0087,Comercial,Michoacán,45,3,383.12,8.513777777777777,127.70666666666666,0.2871993852338469
CLIENTE_0088,Residencial,Coahuila,45,2,308.9,6.864444444444444,154.45,0.20720932450769938
CLIENTE_0089,Comercial,Michoacán,45,1,328.05,7.29,328.05,0.22784809657595223
CLIENTE_0090,Residencial,Nuevo León,24,3,271.24,11.301666666666668,90.41333333333334,0.42240759149090473
CLIENTE_0091,Residencial,Chihuahua,24,3,352.11,14.67125,117.37,0.5858270592284639
CLIENTE_0092,Comercial,Tamaulipas,24,3,231.99,9.66625,77.33,0.3430924671098091
CLIENTE_0093,Comercial,Tabasco,24,2,209.04,8.709999999999999,104.52,0.2967158529812449
CLIENTE_0094,Residencial,Chihuahua,52,3,276.68,5.320769230769231,92.22666666666667,0.13234351564553556
CLIENTE_0095,Comercial,Coahuila,52,4,572.47,11.009038461538463,143.1175,0.4082155858936602
CLIENTE_0096,Residencial,Colima,24,3,346.83,14.45125,115.61,0.5751574068276439
CLIENTE_0097,Residencial,Campeche,45,4,502.4,11.164444444444444,125.6,0.4157525305237265
CLIENTE_0098,Residencial,Puebla,45,1,311.14,6.914222222222222,311.14,0.20962346808121832
CLIENTE_0099,Residencial,Michoacán,24,3,224.85,9.36875,74.95,0.32866418715870027
CLIENTE_0100,Residencial,Chihuahua,24,2,363.55,15.147916666666667,181.775,0.6089446394302406
CLIENTE_0101,Residencial,Guanajuato,77,3,353.06,4.5851948051948055,117.68666666666667,0.0966693182100267
CLIENTE_0102,Residencial,Aguascalientes,45,4,531.39,11.808666666666666,132.8475,0.4469962904327943
CLIENTE_0103,Residencial,Aguascalientes,77,4,491.76,6.3864935064935064,122.94,0.1840294591777795
CLIENTE_0104,Residencial,Tlaxcala,24,2,387.68,16.153333333333332,193.84,0.6577057592089879
CLIENTE_0105,Comercial,Morelos,45,4,577.75,12.838888888888889,144.4375,0.4969604404633009
CLIENTE_0106,Residencial,Coahuila,24,3,325.24,13.551666666666668,108.41333333333334,0.531529036499291
CLIENTE_0107,Residencial,Morelos,24,3,272.04,11.335,90.68,0.424024205491029
CLIENTE_0108,Comercial,Coahuila,45,3,320.11,7.113555555555556,106.70333333333333,0.21929081980196127
CLIENTE_0109,Residencial,Michoacán,24,2,311.79,12.99125,155.895,0.5043497136222022
CLIENTE_0110,Residencial,Guerrero,24,1,276.41,11.517083333333334,276.41,0.4328549594667076
CLIENTE_0111,Residencial,Guerrero,24,2,259.35,10.80625,129.675,0.3983806659140582
CLIENTE_0112,Residencial,Chiapas,17,1,278.92,16.40705882352941,278.92,0.6700110445981688
CLIENTE_0113,Comercial,Colima,45,2,311.49,6.922000000000001,155.745,0.2100006780145807
CLIENTE_0114,Comercial,Jalisco,45,3,283.02,6.2893333333333326,94.33999999999999,0.1793173442922225
CLIENTE_0115,Residencial,Ciudad de México,17,3,250.91,14.759411764705883,83.63666666666667,0.5901027655214396
CLIENTE_0116,Comercial,Jalisco,24,1,348.0,14.5,348.0,0.5775217048028256
CLIENTE_0117,Comercial,Guanajuato,17,1,303.2,17.83529411764706,303.2,0.7392781997564335
CLIENTE_0118,Residencial,Guanajuato,45,4,408.77,9.083777777777778,102.1925,0.31484348463597145
CLIENTE_0119,Comercial,Colima,17,2,271.36,15.962352941176471,135.68,0.6484435119376879
CLIENTE_0120,Residencial,Morelos,45,4,578.97,12.866000000000001,144.7425,0.49827528651673536
CLIENTE_0121,Comercial,Ciudad de México,17,2,346.86,20.40352941176471,173.43,0.8638335537189472
CLIENTE_0122,Comercial,Zacatecas,24,1,262.58,10.940833333333332,262.58,0.4049077449395597
CLIENTE_0123,Residencial,Coahuila,52,1,382.58,7.357307692307692,382.58,0.23111241330697233
CLIENTE_0124,Residencial,Aguascalientes,45,2,214.43,4.7651111111111115,107.215,0.10539497477987478
CLIENTE_0125,Residencial,Zacatecas,17,1,387.07,22.768823529411765,387.07,0.9785465812689396
CLIENTE_0126,Residencial,Aguascalientes,52,1,247.46,4.758846153846154,247.46,0.10509113425113345
CLIENTE_0127,Comercial,Michoacán,45,1,201.29,4.473111111111111,201.29,0.0912334361387864
CLIENTE_0128,Comercial,Morelos,52,1,284.16,5.464615384615385,284.16,0.13931982683068714
CLIENTE_0129,Residencial,Ciudad de México,45,3,269.53,5.989555555555555,89.84333333333332,0.16477859571777184
CLIENTE_0130,Residencial,Yucatán,45,4,506.96,11.265777777777778,126.74,0.42066703708410425
CLIENTE_0131,Residencial,Aguascalientes,77,4,560.61,7.280649350649351,140.1525,0.22739460485643687
CLIENTE_0132,Residencial,Michoacán,24,3,363.89,15.162083333333333,121.29666666666667,0.6096317003802934
CLIENTE_0133,Residencial,Sonora,45,1,277.78,6.172888888888888,277.78,0.17366997271845516
CLIENTE_0134,Residencial,Nuevo León,45,4,484.2,10.76,121.05,0.39613761398888575
CLIENTE_0135,Comercial,Veracruz,17,2,228.42,13.436470588235293,114.21,0.5259422087047438
CLIENTE_0136,Residencial,Hidalgo,17,3,208.77,12.280588235294118,69.59,0.4698837408769063
